Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.io.input.DemuxInputStream,35.0,3.0,7.0,3.0,1.0,4.0,-0.0,0.0,0.0,7.0,1.0,
org.apache.commons.io.input.NullInputStream,128.0,16.0,17.0,7.0,1.0,4.0,0.761904761904762,0.7142857142857143,1.0,45.0,7.0,
org.apache.commons.io.input.NullReader,117.0,15.0,16.0,7.0,1.0,4.0,0.7653061224489797,0.7142857142857143,2.0,38.0,7.0,
org.apache.commons.io.input.ProxyInputStream,90.0,13.0,19.0,6.0,1.0,8.0,0.0,0.0,8.0,26.0,0.0,
org.apache.commons.io.input.ProxyReader,106.0,14.0,20.0,7.0,1.0,9.0,0.0,0.0,1.0,30.0,0.0,
org.apache.commons.io.input.ReaderInputStream,105.0,12.0,31.0,12.0,1.0,27.0,0.7662337662337663,0.7023809523809523,0.0,25.0,7.0,
org.apache.commons.io.input.ReversedLinesFileReader,166.0,4.0,25.0,13.0,1.0,22.0,0.9333333333333332,0.7,0.0,23.0,10.0,
org.apache.commons.io.input.ReversedLinesFileReader.FilePart,96.0,5.0,10.0,7.0,0.0,5.0,0.3125,0.25,0.0,32.0,4.0,
org.apache.commons.io.input.SwappedDataInputStream,95.0,16.0,27.0,13.0,2.0,12.0,0.0,0.0,0.0,20.0,0.0,
org.apache.commons.io.input.TaggedInputStream,16.0,4.0,8.0,6.0,2.0,4.0,0.3333333333333333,0.25,0.0,5.0,1.0,
org.apache.commons.io.input.Tailer,131.0,12.0,28.0,11.0,1.0,20.0,0.6,0.55,0.0,32.0,6.0,
org.apache.commons.io.input.TailerListener,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,
org.apache.commons.io.input.TailerListenerAdapter,12.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,
org.apache.commons.io.input.TeeInputStream,47.0,6.0,9.0,5.0,2.0,6.0,0.4,0.33333333333333337,0.0,9.0,2.0,
org.apache.commons.io.input.XmlStreamReader,313.0,23.0,66.0,22.0,1.0,51.0,0.937799043062201,0.897025171624714,2.0,82.0,19.0,
org.apache.commons.io.input.XmlStreamReaderException,36.0,7.0,8.0,1.0,1.0,2.0,0.8888888888888888,0.7619047619047619,1.0,6.0,6.0,
org.apache.commons.io.IOCase,70.0,12.0,26.0,8.0,1.0,14.0,0.8636363636363636,0.7916666666666666,0.0,26.0,4.0,
org.apache.commons.io.IOExceptionWithCause,11.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,
org.apache.commons.io.IOUtils,654.0,85.0,65.0,35.0,0.0,45.0,0.9902597402597403,0.9786096256684492,0.0,182.0,11.0,
org.apache.commons.io.LineIterator,65.0,8.0,16.0,9.0,1.0,8.0,0.761904761904762,0.6666666666666667,0.0,29.0,3.0,
