Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.apache.commons.lang.mutable.MutableDouble,83.0,24.0,28.0,10.0,1.0,10.0,0.5652173913043478,0.5416666666666667,0.0,18.0,2.0,
org.apache.commons.lang.mutable.MutableFloat,82.0,24.0,28.0,10.0,1.0,10.0,0.5652173913043478,0.5416666666666667,0.0,18.0,2.0,
org.apache.commons.lang.mutable.MutableInt,78.0,22.0,22.0,10.0,1.0,6.0,0.5714285714285714,0.5454545454545454,0.0,18.0,2.0,
org.apache.commons.lang.mutable.MutableLong,78.0,22.0,22.0,10.0,1.0,6.0,0.5714285714285714,0.5454545454545454,0.0,18.0,2.0,
org.apache.commons.lang.mutable.MutableObject,30.0,7.0,10.0,4.0,1.0,4.0,0.6666666666666666,0.5714285714285714,2.0,8.0,2.0,
org.apache.commons.lang.mutable.MutableShort,81.0,23.0,23.0,11.0,1.0,6.0,0.5681818181818182,0.5434782608695652,0.0,19.0,2.0,
org.apache.commons.lang.NotImplementedException,72.0,18.0,21.0,7.0,1.0,11.0,0.7794117647058824,0.7361111111111112,0.0,20.0,4.0,
org.apache.commons.lang.NullArgumentException,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.apache.commons.lang.NumberRange,88.0,10.0,22.0,8.0,0.0,13.0,0.1111111111111111,0.09999999999999998,0.0,37.0,2.0,
org.apache.commons.lang.NumberUtils,331.0,19.0,47.0,15.0,0.0,32.0,0.0,0.0,0.0,153.0,0.0,
org.apache.commons.lang.ObjectUtils,123.0,16.0,39.0,9.0,0.0,26.0,1.0666666666666667,1.0,0.0,47.0,1.0,
org.apache.commons.lang.ObjectUtils.Null,9.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,
org.apache.commons.lang.RandomStringUtils,97.0,12.0,13.0,6.0,0.0,7.0,0.7272727272727273,0.6666666666666667,0.0,38.0,1.0,
org.apache.commons.lang.reflect.ConstructorUtils,113.0,11.0,22.0,5.0,0.0,17.0,0.0,0.0,0.0,31.0,0.0,
org.apache.commons.lang.reflect.FieldUtils,228.0,29.0,32.0,6.0,0.0,21.0,0.0,0.0,0.0,85.0,0.0,
org.apache.commons.lang.reflect.MemberUtils,95.0,8.0,23.0,7.0,0.0,15.0,1.0,0.875,0.0,25.0,3.0,
org.apache.commons.lang.reflect.MethodUtils,255.0,19.0,38.0,6.0,0.0,29.0,0.0,0.0,0.0,71.0,0.0,
org.apache.commons.lang.SerializationException,15.0,4.0,2.0,3.0,2.0,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,
org.apache.commons.lang.SerializationUtils,60.0,6.0,16.0,11.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,
org.apache.commons.lang.StringEscapeUtils,343.0,25.0,39.0,10.0,0.0,25.0,0.9791666666666666,0.94,0.0,144.0,4.0,
org.apache.commons.lang.StringUtils,2066.0,177.0,235.0,18.0,0.0,117.0,0.8806818181818182,0.8757062146892656,0.0,879.0,3.0,
org.apache.commons.lang.SystemUtils,233.0,25.0,44.0,7.0,0.0,21.0,1.0313852813852813,0.9901298701298701,0.0,55.0,77.0,
org.apache.commons.lang.text.CompositeFormat,25.0,6.0,8.0,6.0,1.0,2.0,0.8,0.6666666666666667,0.0,6.0,3.0,
org.apache.commons.lang.text.ExtendedMessageFormat,294.0,21.0,78.0,16.0,1.0,60.0,0.9099999999999999,0.8666666666666667,1.0,92.0,10.0,
org.apache.commons.lang.text.FormatFactory,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,
org.apache.commons.lang.text.StrBuilder,1215.0,135.0,93.0,23.0,1.0,34.0,0.835820895522388,0.8296296296296296,0.0,403.0,6.0,
org.apache.commons.lang.text.StrBuilder.StrBuilderTokenizer,20.0,3.0,8.0,4.0,2.0,5.0,0.0,0.0,0.0,9.0,0.0,
org.apache.commons.lang.text.StrBuilder.StrBuilderReader,55.0,9.0,14.0,5.0,1.0,6.0,0.625,0.5555555555555556,0.0,21.0,2.0,
org.apache.commons.lang.text.StrBuilder.StrBuilderWriter,24.0,8.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,
org.apache.commons.lang.text.StrLookup,43.0,5.0,9.0,5.0,0.0,4.0,1.0,0.8,1.0,5.0,0.0,
org.apache.commons.lang.text.StrLookup.MapStrLookup,16.0,2.0,4.0,3.0,1.0,2.0,-0.0,0.0,0.0,6.0,1.0,
org.apache.commons.lang.text.StrMatcher,128.0,16.0,26.0,7.0,0.0,12.0,0.9777777777777777,0.9166666666666666,5.0,25.0,0.0,
org.apache.commons.lang.text.StrMatcher.CharSetMatcher,11.0,2.0,6.0,2.0,1.0,4.0,-0.0,0.0,0.0,2.0,1.0,
org.apache.commons.lang.text.StrMatcher.CharMatcher,10.0,2.0,3.0,2.0,1.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.apache.commons.lang.text.StrMatcher.StringMatcher,19.0,2.0,4.0,3.0,1.0,2.0,-0.0,0.0,0.0,7.0,1.0,
org.apache.commons.lang.text.StrMatcher.NoMatcher,8.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,
org.apache.commons.lang.text.StrMatcher.TrimMatcher,8.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,
org.apache.commons.lang.text.StrSubstitutor,335.0,42.0,63.0,20.0,0.0,44.0,0.9420731707317073,0.9196428571428571,0.0,100.0,8.0,
org.apache.commons.lang.text.StrTokenizer,415.0,64.0,74.0,12.0,1.0,28.0,0.9826839826839826,0.9673295454545454,1.0,113.0,9.0,
org.apache.commons.lang.time.DateFormatUtils,73.0,17.0,7.0,7.0,0.0,4.0,1.0625,1.0,0.0,17.0,9.0,
org.apache.commons.lang.time.DateUtils,603.0,59.0,111.0,17.0,0.0,70.0,0.9956896551724138,0.978813559322034,0.0,222.0,20.0,
org.apache.commons.lang.time.DateUtils.DateIterator,23.0,4.0,11.0,5.0,1.0,7.0,0.3333333333333333,0.25,0.0,7.0,2.0,
org.apache.commons.lang.time.DurationFormatUtils,357.0,11.0,52.0,13.0,0.0,43.0,0.7625,0.6931818181818181,0.0,89.0,8.0,
org.apache.commons.lang.time.DurationFormatUtils.Token,55.0,9.0,15.0,5.0,0.0,7.0,0.3125,0.2777777777777778,0.0,23.0,2.0,
org.apache.commons.lang.time.FastDateFormat,803.0,42.0,120.0,39.0,1.0,97.0,0.9661246612466126,0.9431216931216931,0.0,159.0,20.0,
org.apache.commons.lang.time.FastDateFormat.Rule,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,
org.apache.commons.lang.time.FastDateFormat.NumberRule,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,
org.apache.commons.lang.time.FastDateFormat.CharacterLiteral,12.0,3.0,4.0,4.0,1.0,1.0,0.5,0.33333333333333337,0.0,3.0,1.0,
org.apache.commons.lang.time.FastDateFormat.StringLiteral,12.0,3.0,5.0,4.0,1.0,2.0,-0.0,0.0,0.0,3.0,1.0,
org.apache.commons.lang.time.FastDateFormat.TextField,21.0,3.0,6.0,4.0,1.0,3.0,0.25,0.16666666666666663,0.0,5.0,2.0,
org.apache.commons.lang.time.FastDateFormat.UnpaddedNumberField,22.0,4.0,6.0,3.0,2.0,3.0,0.6666666666666666,0.5,0.0,7.0,1.0,
org.apache.commons.lang.time.FastDateFormat.UnpaddedMonthField,20.0,4.0,6.0,3.0,2.0,3.0,1.3333333333333333,1.0,0.0,5.0,0.0,
org.apache.commons.lang.time.FastDateFormat.PaddedNumberField,38.0,4.0,9.0,4.0,2.0,6.0,0.6666666666666666,0.5,0.0,11.0,2.0,
org.apache.commons.lang.time.FastDateFormat.TwoDigitNumberField,20.0,4.0,6.0,3.0,2.0,3.0,0.6666666666666666,0.5,0.0,5.0,1.0,
org.apache.commons.lang.time.FastDateFormat.TwoDigitYearField,16.0,4.0,6.0,3.0,2.0,3.0,1.3333333333333333,1.0,0.0,3.0,0.0,
org.apache.commons.lang.time.FastDateFormat.TwoDigitMonthField,16.0,4.0,6.0,3.0,2.0,3.0,1.3333333333333333,1.0,0.0,3.0,0.0,
org.apache.commons.lang.time.FastDateFormat.TwelveHourField,19.0,4.0,7.0,4.0,2.0,4.0,-0.0,0.0,0.0,4.0,1.0,
org.apache.commons.lang.time.FastDateFormat.TwentyFourHourField,19.0,4.0,7.0,4.0,2.0,4.0,-0.0,0.0,0.0,4.0,1.0,
org.apache.commons.lang.time.FastDateFormat.TimeZoneNameRule,46.0,3.0,12.0,7.0,1.0,9.0,0.16666666666666674,0.11111111111111116,0.0,17.0,6.0,
org.apache.commons.lang.time.FastDateFormat.TimeZoneNumberRule,29.0,3.0,5.0,4.0,1.0,2.0,1.1666666666666667,0.7777777777777778,0.0,6.0,1.0,
org.apache.commons.lang.time.FastDateFormat.TimeZoneDisplayKey,30.0,3.0,6.0,6.0,0.0,3.0,0.16666666666666674,0.11111111111111116,0.0,8.0,3.0,
org.apache.commons.lang.time.FastDateFormat.Pair,30.0,4.0,8.0,5.0,0.0,4.0,-0.0,0.0,0.0,8.0,2.0,
org.apache.commons.lang.time.StopWatch,98.0,13.0,18.0,5.0,0.0,5.0,0.6749999999999999,0.6230769230769231,0.0,40.0,10.0,
org.apache.commons.lang.UnhandledException,9.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,
org.apache.commons.lang.Validate,123.0,22.0,17.0,10.0,0.0,11.0,0.0,0.0,0.0,44.0,0.0,
org.apache.commons.lang.WordUtils,211.0,14.0,33.0,5.0,0.0,24.0,0.0,0.0,0.0,79.0,0.0,
org.apache.commons.lang.ArrayUtilsAddTest,475.0,12.0,29.0,15.0,1.0,17.0,0.0,0.0,0.0,37.0,0.0,
